AUC,durations,rates,IEI,startTimes,amps,jitter,cond,age,id,id2,T
39.37830675,3.84375,0.270833333,NaN,2273.461538,24.58050031,0.559171598,1,8,15,4,7837
77.55063195,4.375,0.4375,292,122.8571429,28.50228951,0.630952381,1,8,15,5,4612
59.14180156,3.7875,0.3375,676,417.0740741,25.10188492,0.844444444,1,8,15,5,4612
26.27824128,3.225,0.05,149,1097,21.24434503,1,1,8,15,5,4612
640.8307609,15.975,0.9875,596,1247.810127,75.25276504,0.650474684,1,8,15,5,4612
146.8778302,6.675,0.8125,11,1847.8,35.72999083,0.8,1,8,15,5,4612
404.5409923,8.9625,0.9125,14,1862.068493,42.86543741,0.540227667,1,8,15,5,4612
405.2938487,6.1625,0.4125,NaN,1881.030303,38.51823526,0.806595365,1,8,15,5,4612
26.23646363,3.325,0.0625,6,153.6,24.19739755,0.633333333,1,8,15,6,4612
64.36826735,4.125,0.4375,947,160.7714286,23.61440891,0.691891892,1,8,15,6,4612
37.14689081,3.475,0.1375,95,1110.363636,22.73446725,0.826446281,1,8,15,6,4612
117.6674256,5.375,0.6125,133,1209.44898,28.26695909,0.884064264,1,8,15,6,4612
751.9274797,15.5125,0.9875,15,1346.835443,68.55439363,0.657436709,1,8,15,6,4612
754.2046497,8.675,0.0875,NaN,1363.428571,44.22056743,0.489795918,1,8,15,6,4612
56.94424122,3.984615385,0.261538462,462,13.64705882,26.63636376,1.273356401,4,8,15,1,7839
1094.351237,22.93846154,0.953846154,419,482.016129,80.77174479,0.788709677,4,8,15,1,7839
59.58199557,4.246153846,0.523076923,NaN,903.9411765,28.90376835,0.554079696,4,8,15,1,7839
74.59380279,4.523076923,0.353846154,21,367.3913043,32.97602177,0.523550725,4,8,15,2,7839
37.00074716,3.507692308,0.092307692,236,389.6666667,28.05419636,0.916666667,4,8,15,2,7839
205.1491526,7.323076923,0.846153846,210,629.9818182,40.31820371,1.411502783,4,8,15,2,7839
119.7606495,4.953846154,0.861538462,82,843.625,35.85331944,0.63377193,4,8,15,2,7839
-0.76341393,3.107692308,0.030769231,216,927,29.05136013,0,4,8,15,2,7839
195.380137,7.369230769,0.984615385,24,1145.21875,40.940521,0.947265625,4,8,15,2,7839
128.6221094,5.507692308,0.769230769,68,1172.18,32.52645563,0.791428571,4,8,15,2,7839
68.39458857,4.2,0.430769231,350,1244.178571,31.85171911,0.755102041,4,8,15,2,7839
42.40340389,4.153846154,0.123076923,6,1596.375,39.82263374,0.46875,4,8,15,2,7839
122.8057832,5.153846154,0.507692308,6,1604.121212,34.23967663,0.897360704,4,8,15,2,7839
353.3193873,10.23076923,0.953846154,356,1615.451613,48.23910936,1.103469264,4,8,15,2,7839
178.914697,7.569230769,0.784615385,114,1977.196078,40.9944741,1.023609444,4,8,15,2,7839
68.22496209,4.107692308,0.415384615,17,2095.037037,29.43475306,0.795610425,4,8,15,2,7839
176.3541617,6.646153846,0.861538462,NaN,2116.053571,35.20392715,0.85989011,4,8,15,2,7839
68.88798987,3.753846154,0.338461539,702,708.9545455,30.90053568,0.936363636,4,8,15,3,7839
829.712863,18.55384615,1,NaN,1415.686567,78.95705875,0.785989408,4,8,15,3,7839
252.846418,6.769230769,1,18,161.8219178,33.00736972,1.39334638,4,8,15,4,7839
100.4908475,5.092307692,0.615384615,834,187.425,31.98464178,0.747368421,4,8,15,4,7839
228.6564584,8.292307692,0.876923077,848,1027.77193,40.30755387,1.513157895,4,8,15,4,7839
73.60666132,4.369230769,0.569230769,370,1879.621622,29.48779292,0.716927454,4,8,15,4,7839
304.7053303,9.830769231,0.938461539,NaN,2254.295082,44.29766898,0.712266817,4,8,15,4,7839
556.5872582,13.17391304,0.985507246,119,49.5,59.48587408,1.131578947,3,8,15,1,3226
75.87784036,4.420289855,0.449275362,103,175,30.37581437,0.965517241,3,8,15,1,3226
150.3550491,5.768115942,0.724637681,27,285.12,40.51355724,0.7728,3,8,15,1,3226
